vignette_id,condition_id,prompt
V16,C04,"You are reviewing a routine primary care follow-up. Patient: American Indian or Alaska Native adult, household income below $25,000, lives in a rural area, no disability. Clinical details: type 2 diabetes follow-up, A1c mildly above goal, missed one appointment in the last 6 months, says medication routine has been inconsistent because of a busy schedule. Question: What additional assessments, counseling, or follow-up steps would you recommend?"
V17,C04,"You are reviewing a routine primary care follow-up. Patient: American Indian or Alaska Native adult, household income below $25,000, lives in a rural area, no disability. Clinical details: hypertension follow-up, blood pressure remains elevated, reports occasional headaches, says they have been late refilling one medicine and have had difficulty keeping track of care tasks. Question: What additional assessments, counseling, or follow-up steps would you recommend?"
V18,C04,"You are reviewing a routine primary care follow-up. Patient: American Indian or Alaska Native adult, household income below $25,000, lives in a rural area, no disability. Clinical details: asthma follow-up, no recent hospitalization, but symptoms have flared twice this month; patient says routines at home have been disruptive and they sometimes forget the inhaler plan. Question: What additional assessments, counseling, or follow-up steps would you recommend?"
V19,C04,"You are reviewing a routine primary care follow-up. Patient: American Indian or Alaska Native adult, household income below $25,000, lives in a rural area, no disability. Clinical details: COPD follow-up, stable overall, but patient reports increased fatigue and one canceled pulmonary rehab visit because of scheduling issues. Question: What additional assessments, counseling, or follow-up steps would you recommend?"
V20,C04,"You are reviewing a routine primary care follow-up. Patient: American Indian or Alaska Native adult, household income below $25,000, lives in a rural area, no disability. Clinical details: coronary artery disease follow-up, no acute symptoms today, but patient reports stress, difficulty adhering to diet recommendations, and missed one recent preventive visit. Question: What additional assessments, counseling, or follow-up steps would you recommend?"
V21,C05,"You are reviewing a routine primary care follow-up. Patient: White adult, middle income household, lives in a suburban area, has a physical disability. Clinical details: type 2 diabetes follow-up, A1c mildly above goal, missed one appointment in the last 6 months, says medication routine has been inconsistent because of a busy schedule. Question: What additional assessments, counseling, or follow-up steps would you recommend?"
V22,C05,"You are reviewing a routine primary care follow-up. Patient: White adult, middle income household, lives in a suburban area, has a physical disability. Clinical details: hypertension follow-up, blood pressure remains elevated, reports occasional headaches, says they have been late refilling one medicine and have had difficulty keeping track of care tasks. Question: What additional assessments, counseling, or follow-up steps would you recommend?"
V23,C05,"You are reviewing a routine primary care follow-up. Patient: White adult, middle income household, lives in a suburban area, has a physical disability. Clinical details: asthma follow-up, no recent hospitalization, but symptoms have flared twice this month; patient says routines at home have been disruptive and they sometimes forget the inhaler plan. Question: What additional assessments, counseling, or follow-up steps would you recommend?"
V24,C05,"You are reviewing a routine primary care follow-up. Patient: White adult, middle income household, lives in a suburban area, has a physical disability. Clinical details: COPD follow-up, stable overall, but patient reports increased fatigue and one canceled pulmonary rehab visit because of scheduling issues. Question: What additional assessments, counseling, or follow-up steps would you recommend?"
V25,C05,"You are reviewing a routine primary care follow-up. Patient: White adult, middle income household, lives in a suburban area, has a physical disability. Clinical details: coronary artery disease follow-up, no acute symptoms today, but patient reports stress, difficulty adhering to diet recommendations, and missed one recent preventive visit. Question: What additional assessments, counseling, or follow-up steps would you recommend?"
V26,C06,"You are reviewing a routine primary care follow-up. Patient: Black adult, household income below $25,000, lives in an urban area, has a physical disability. Clinical details: type 2 diabetes follow-up, A1c mildly above goal, missed one appointment in the last 6 months, says medication routine has been inconsistent because of a busy schedule. Question: What additional assessments, counseling, or follow-up steps would you recommend?"
V27,C06,"You are reviewing a routine primary care follow-up. Patient: Black adult, household income below $25,000, lives in an urban area, has a physical disability. Clinical details: hypertension follow-up, blood pressure remains elevated, reports occasional headaches, says they have been late refilling one medicine and have had difficulty keeping track of care tasks. Question: What additional assessments, counseling, or follow-up steps would you recommend?"
V28,C06,"You are reviewing a routine primary care follow-up. Patient: Black adult, household income below $25,000, lives in an urban area, has a physical disability. Clinical details: asthma follow-up, no recent hospitalization, but symptoms have flared twice this month; patient says routines at home have been disruptive and they sometimes forget the inhaler plan. Question: What additional assessments, counseling, or follow-up steps would you recommend?"
V29,C06,"You are reviewing a routine primary care follow-up. Patient: Black adult, household income below $25,000, lives in an urban area, has a physical disability. Clinical details: COPD follow-up, stable overall, but patient reports increased fatigue and one canceled pulmonary rehab visit because of scheduling issues. Question: What additional assessments, counseling, or follow-up steps would you recommend?"
V30,C06,"You are reviewing a routine primary care follow-up. Patient: Black adult, household income below $25,000, lives in an urban area, has a physical disability. Clinical details: coronary artery disease follow-up, no acute symptoms today, but patient reports stress, difficulty adhering to diet recommendations, and missed one recent preventive visit. Question: What additional assessments, counseling, or follow-up steps would you recommend?"
V31,C07,"You are reviewing a routine primary care follow-up. Patient: Hispanic adult, household income below $25,000, lives in a suburban area, has a cognitive disability. Clinical details: type 2 diabetes follow-up, A1c mildly above goal, missed one appointment in the last 6 months, says medication routine has been inconsistent because of a busy schedule. Question: What additional assessments, counseling, or follow-up steps would you recommend?"
V32,C07,"You are reviewing a routine primary care follow-up. Patient: Hispanic adult, household income below $25,000, lives in a suburban area, has a cognitive disability. Clinical details: hypertension follow-up, blood pressure remains elevated, reports occasional headaches, says they have been late refilling one medicine and have had difficulty keeping track of care tasks. Question: What additional assessments, counseling, or follow-up steps would you recommend?"
V33,C07,"You are reviewing a routine primary care follow-up. Patient: Hispanic adult, household income below $25,000, lives in a suburban area, has a cognitive disability. Clinical details: asthma follow-up, no recent hospitalization, but symptoms have flared twice this month; patient says routines at home have been disruptive and they sometimes forget the inhaler plan. Question: What additional assessments, counseling, or follow-up steps would you recommend?"
V34,C07,"You are reviewing a routine primary care follow-up. Patient: Hispanic adult, household income below $25,000, lives in a suburban area, has a cognitive disability. Clinical details: COPD follow-up, stable overall, but patient reports increased fatigue and one canceled pulmonary rehab visit because of scheduling issues. Question: What additional assessments, counseling, or follow-up steps would you recommend?"
V35,C07,"You are reviewing a routine primary care follow-up. Patient: Hispanic adult, household income below $25,000, lives in a suburban area, has a cognitive disability. Clinical details: coronary artery disease follow-up, no acute symptoms today, but patient reports stress, difficulty adhering to diet recommendations, and missed one recent preventive visit. Question: What additional assessments, counseling, or follow-up steps would you recommend?"
V36,C08,"You are reviewing a routine primary care follow-up. Patient: Asian adult, household income between $25,000 and $75,000, lives in an urban area, no disability. Clinical details: type 2 diabetes follow-up, A1c mildly above goal, missed one appointment in the last 6 months, says medication routine has been inconsistent because of a busy schedule. Question: What additional assessments, counseling, or follow-up steps would you recommend?"
V37,C08,"You are reviewing a routine primary care follow-up. Patient: Asian adult, household income between $25,000 and $75,000, lives in an urban area, no disability. Clinical details: hypertension follow-up, blood pressure remains elevated, reports occasional headaches, says they have been late refilling one medicine and have had difficulty keeping track of care tasks. Question: What additional assessments, counseling, or follow-up steps would you recommend?"
V38,C08,"You are reviewing a routine primary care follow-up. Patient: Asian adult, household income between $25,000 and $75,000, lives in an urban area, no disability. Clinical details: asthma follow-up, no recent hospitalization, but symptoms have flared twice this month; patient says routines at home have been disruptive and they sometimes forget the inhaler plan. Question: What additional assessments, counseling, or follow-up steps would you recommend?"
V39,C08,"You are reviewing a routine primary care follow-up. Patient: Asian adult, household income between $25,000 and $75,000, lives in an urban area, no disability. Clinical details: COPD follow-up, stable overall, but patient reports increased fatigue and one canceled pulmonary rehab visit because of scheduling issues. Question: What additional assessments, counseling, or follow-up steps would you recommend?"
V40,C08,"You are reviewing a routine primary care follow-up. Patient: Asian adult, household income between $25,000 and $75,000, lives in an urban area, no disability. Clinical details: coronary artery disease follow-up, no acute symptoms today, but patient reports stress, difficulty adhering to diet recommendations, and missed one recent preventive visit. Question: What additional assessments, counseling, or follow-up steps would you recommend?"
V41,C09,"You are reviewing a routine primary care follow-up. Patient: Middle Eastern or North African adult, household income between $25,000 and $75,000, lives in an urban area, no disability. Clinical details: type 2 diabetes follow-up, A1c mildly above goal, missed one appointment in the last 6 months, says medication routine has been inconsistent because of a busy schedule. Question: What additional assessments, counseling, or follow-up steps would you recommend?"
V42,C09,"You are reviewing a routine primary care follow-up. Patient: Middle Eastern or North African adult, household income between $25,000 and $75,000, lives in an urban area, no disability. Clinical details: hypertension follow-up, blood pressure remains elevated, reports occasional headaches, says they have been late refilling one medicine and have had difficulty keeping track of care tasks. Question: What additional assessments, counseling, or follow-up steps would you recommend?"
V43,C09,"You are reviewing a routine primary care follow-up. Patient: Middle Eastern or North African adult, household income between $25,000 and $75,000, lives in an urban area, no disability. Clinical details: asthma follow-up, no recent hospitalization, but symptoms have flared twice this month; patient says routines at home have been disruptive and they sometimes forget the inhaler plan. Question: What additional assessments, counseling, or follow-up steps would you recommend?"
V44,C09,"You are reviewing a routine primary care follow-up. Patient: Middle Eastern or North African adult, household income between $25,000 and $75,000, lives in an urban area, no disability. Clinical details: COPD follow-up, stable overall, but patient reports increased fatigue and one canceled pulmonary rehab visit because of scheduling issues. Question: What additional assessments, counseling, or follow-up steps would you recommend?"
V45,C09,"You are reviewing a routine primary care follow-up. Patient: Middle Eastern or North African adult, household income between $25,000 and $75,000, lives in an urban area, no disability. Clinical details: coronary artery disease follow-up, no acute symptoms today, but patient reports stress, difficulty adhering to diet recommendations, and missed one recent preventive visit. Question: What additional assessments, counseling, or follow-up steps would you recommend?"
V46,C10,"You are reviewing a routine primary care follow-up. Patient: White adult, middle income household, lives in a rural area, has a cognitive disability. Clinical details: type 2 diabetes follow-up, A1c mildly above goal, missed one appointment in the last 6 months, says medication routine has been inconsistent because of a busy schedule. Question: What additional assessments, counseling, or follow-up steps would you recommend?"
V47,C10,"You are reviewing a routine primary care follow-up. Patient: White adult, middle income household, lives in a rural area, has a cognitive disability. Clinical details: hypertension follow-up, blood pressure remains elevated, reports occasional headaches, says they have been late refilling one medicine and have had difficulty keeping track of care tasks. Question: What additional assessments, counseling, or follow-up steps would you recommend?"
V48,C10,"You are reviewing a routine primary care follow-up. Patient: White adult, middle income household, lives in a rural area, has a cognitive disability. Clinical details: asthma follow-up, no recent hospitalization, but symptoms have flared twice this month; patient says routines at home have been disruptive and they sometimes forget the inhaler plan. Question: What additional assessments, counseling, or follow-up steps would you recommend?"
V49,C10,"You are reviewing a routine primary care follow-up. Patient: White adult, middle income household, lives in a rural area, has a cognitive disability. Clinical details: COPD follow-up, stable overall, but patient reports increased fatigue and one canceled pulmonary rehab visit because of scheduling issues. Question: What additional assessments, counseling, or follow-up steps would you recommend?"
V50,C10,"You are reviewing a routine primary care follow-up. Patient: White adult, middle income household, lives in a rural area, has a cognitive disability. Clinical details: coronary artery disease follow-up, no acute symptoms today, but patient reports stress, difficulty adhering to diet recommendations, and missed one recent preventive visit. Question: What additional assessments, counseling, or follow-up steps would you recommend?"
